ÍÆ¼ö¾ØÕó£º
16	29	16	35	41	54	53	13	44	22	
16	35	11	41	53	36	28	44	56	20	
41	35	11	28	15	36	24	56	22	20	
16	41	35	29	17	20	15	15	24	20	
29	16	41	28	35	54	20	24	56	17	
16	35	29	15	11	17	54	24	20	56	
5	53	35	11	6	16	8	57	29	41	
35	41	16	5	6	28	11	17	57	36	
41	24	16	28	17	35	10	29	22	35	
35	16	41	29	24	56	28	15	36	57	
29	41	28	54	24	15	35	22	11	17	
16	29	20	11	13	36	44	41	14	54	
35	29	41	15	24	56	11	17	8	10	
29	16	35	11	59	41	54	13	36	44	
16	29	35	41	22	54	28	17	44	11	
16	35	29	22	11	41	17	53	15	10	
35	16	29	41	28	56	15	15	57	36	
59	35	16	29	11	36	13	41	20	17	
29	35	16	20	41	36	11	54	56	24	
16	35	41	29	28	54	11	17	57	36	
16	35	41	11	54	44	28	24	22	56	
29	16	41	11	28	54	35	15	44	56	
16	29	35	28	17	11	15	24	36	22	
11	20	54	16	44	35	36	41	48	14	
29	35	28	15	24	17	36	57	10	12	
16	41	35	5	6	56	11	15	22	24	
35	6	56	24	41	17	15	28	22	11	
5	36	29	16	20	6	54	41	56	57	
35	16	17	41	5	6	29	24	56	11	
29	16	35	41	54	11	28	56	15	48	
16	29	20	28	35	54	24	15	17	11	
16	35	41	11	17	20	28	36	59	44	
5	41	29	35	6	16	24	56	15	11	
16	29	20	28	17	54	15	24	11	36	
35	16	6	41	57	28	29	15	11	54	
28	41	35	15	24	54	22	36	44	12	
16	24	29	41	28	57	6	15	17	22	
28	35	29	41	24	17	15	54	22	11	
16	29	41	24	15	36	11	20	11	44	
35	16	29	28	41	11	56	22	24	36	
6	16	24	56	29	28	17	15	20	11	
16	11	29	41	35	12	15	17	22	36	
29	41	16	35	56	22	17	36	54	20	
35	16	29	41	24	56	57	20	17	28	
16	29	24	15	35	56	11	54	11	22	
29	41	35	20	24	56	28	15	17	36	
35	41	29	28	15	20	24	54	56	22	
16	29	36	41	11	22	56	28	17	44	
16	29	28	41	56	24	22	15	36	54	
16	41	24	28	15	17	6	54	22	20	
16	41	29	24	28	56	15	57	11	20	
29	16	20	41	14	35	11	15	28	54	
16	35	24	28	56	15	6	36	54	22	
16	28	56	15	17	11	54	20	22	54	
16	29	35	11	17	15	22	20	24	56	
35	6	56	41	24	17	15	28	11	22	
29	16	35	36	11	41	56	24	28	22	
16	29	28	24	17	15	20	11	57	14	
41	15	17	54	20	11	57	57	36	36	
16	35	24	29	15	28	17	11	36	28	
16	41	28	35	54	20	17	24	44	36	
16	41	28	15	17	35	22	29	10	24	
35	29	28	41	17	24	11	22	56	20	
16	29	28	41	17	15	56	20	36	10	
16	8	41	11	29	59	12	36	28	35	
29	35	16	41	24	56	36	15	28	11	
29	16	36	35	41	59	53	22	44	20	
13	20	35	16	39	13	41	49	52	36	
29	16	28	41	35	24	36	15	11	20	
16	35	41	28	29	17	56	24	36	57	
16	35	41	29	36	28	15	22	56	24	
35	29	20	39	16	13	14	52	41	53	
29	36	16	35	28	41	11	20	24	15	
35	29	16	41	11	22	53	28	59	44	
35	5	29	6	17	24	56	28	57	11	
16	35	24	15	17	11	20	20	57	44	
29	16	28	35	56	15	17	11	20	17	
41	16	24	56	28	17	15	29	36	11	
29	16	15	35	11	24	54	56	22	36	
5	35	6	57	16	24	56	41	23	32	
35	16	24	41	29	57	6	17	28	15	
16	28	20	54	11	44	22	41	17	24	
35	17	16	6	41	5	28	15	24	56	
35	29	24	15	56	28	28	17	11	20	
41	35	56	28	15	11	17	17	54	20	
16	28	41	29	17	15	8	11	10	36	
16	11	41	35	28	20	15	22	56	24	
41	28	29	35	24	56	17	8	54	17	
29	16	41	54	11	36	28	44	53	56	
35	16	56	41	28	6	6	15	17	54	
16	17	35	28	24	29	15	56	22	57	
29	35	28	24	15	56	17	54	20	11	
35	16	29	41	56	28	24	11	28	20	
16	41	29	28	56	15	6	57	20	22	
16	24	56	41	15	57	6	29	12	10	
11	36	53	16	44	22	35	41	48	20	
24	17	28	15	57	5	11	22	54	36	
16	35	29	41	17	6	24	56	57	36	
29	41	16	28	24	11	54	17	22	54	
35	29	24	56	41	15	28	17	36	22	
35	41	11	28	24	56	15	54	20	17	
16	35	41	29	24	17	28	20	28	57	
16	29	41	24	20	28	11	57	17	36	
24	35	28	57	16	15	41	17	12	10	
28	41	11	56	24	17	20	8	10	57	
35	41	28	24	17	56	54	57	36	56	
29	28	41	56	54	15	17	11	20	22	
11	29	8	36	35	44	22	20	48	15	
16	29	41	35	20	28	11	24	15	56	
29	16	28	35	41	54	15	17	24	56	
35	16	41	28	29	5	56	24	17	56	
16	20	35	54	28	36	15	44	17	24	
35	29	28	56	17	11	20	54	20	57	
16	41	35	11	28	24	15	56	17	20	
28	24	41	16	15	29	17	8	57	22	
16	29	28	36	20	41	17	54	11	22	
29	35	16	11	44	41	6	22	56	41	
16	24	15	56	35	29	22	36	11	29	
29	41	24	20	56	54	11	15	17	36	
28	16	15	35	29	17	10	10	57	54	
5	6	41	57	15	17	35	16	28	29	
29	11	35	16	41	53	44	20	28	10	
16	41	28	35	56	29	15	17	11	11	
16	29	22	41	56	24	11	36	28	17	
16	35	29	41	20	15	36	56	54	22	
28	24	56	35	17	11	22	22	36	57	
6	5	57	23	56	41	32	28	15	17	
16	29	28	35	15	56	24	8	22	10	
20	11	13	44	59	41	35	14	36	28	
29	41	35	28	54	24	56	17	56	11	
41	35	5	24	16	56	28	15	28	57	
29	16	41	36	35	28	54	22	20	15	
20	54	51	29	44	16	13	14	35	48	
35	24	41	16	29	57	57	28	15	54	
29	41	16	35	54	24	15	56	17	11	
35	29	41	20	28	17	24	56	15	24	
35	16	6	5	41	56	24	29	36	28	
29	41	16	11	28	24	35	15	36	22	
35	16	29	41	24	56	28	56	11	57	
41	16	28	54	15	11	24	17	44	14	
29	16	41	35	11	20	36	15	24	56	
29	16	35	41	59	53	20	28	22	48	
41	28	35	29	54	24	15	56	11	22	
16	28	29	41	36	15	24	56	20	11	
35	5	41	56	57	16	29	28	17	15	
16	41	35	28	24	56	54	15	22	44	
28	16	41	29	15	22	24	56	35	17	
29	16	59	11	35	41	44	22	14	20	
16	41	56	17	28	15	29	57	15	22	
29	16	11	54	20	44	41	48	59	53	
24	56	41	16	17	15	15	29	57	22	
16	35	20	41	29	28	36	17	54	15	
41	56	16	35	15	17	54	22	54	20	
16	29	11	28	54	15	35	22	8	12	
16	29	35	36	54	41	53	11	14	59	
35	16	28	24	56	41	57	57	41	15	
16	35	41	28	56	17	29	22	54	11	
35	29	16	20	41	44	6	11	57	24	
16	29	28	35	24	56	11	22	36	54	
